                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86456,                 0.6451,                0.93464,                0.93405,                 0.9656,                0.98214,                0.75085,                0.81041,                  0.731,                0.91629,              0.0018317,              0.0018317,              0.0018317
                     37,                0.88435,                0.62427,                 0.9338,                0.95965,                0.96591,                0.98464,                0.76049,                0.82216,                0.67901,                0.93282,              0.0018267,              0.0018267,              0.0018267
                     38,                0.86637,                0.62536,                0.92617,                0.95192,                0.95455,                 0.9883,                0.74767,                0.84591,                0.64873,                0.93442,              0.0018218,              0.0018218,              0.0018218
                     39,                0.83999,                0.60953,                0.93214,                0.97595,                0.92229,                0.98865,                0.75606,                0.82182,                0.64681,                0.93504,              0.0018168,              0.0018168,              0.0018168
                     40,                0.81992,                0.62363,                0.93046,                0.97679,                0.96591,                0.98928,                0.75249,                0.88493,                0.62755,                0.96581,              0.0018119,              0.0018119,              0.0018119
                     41,                0.88208,                0.63402,                0.95616,                0.95213,                0.96591,                0.98922,                 0.7489,                0.86479,                0.65775,                0.97746,              0.0018069,              0.0018069,              0.0018069
                     42,                0.83025,                 0.6457,                0.93976,                0.95551,                0.97619,                0.96458,                0.71637,                0.86622,                0.68967,                 0.9714,               0.001802,               0.001802,               0.001802
                     43,                0.88823,                0.64671,                0.94931,                0.96603,                0.97727,                0.98571,                0.73635,                0.88764,                0.66275,                0.96007,              0.0017971,              0.0017971,              0.0017971
                     44,                0.86848,                0.61114,                0.93052,                0.96224,                0.95455,                0.97894,                 0.7469,                0.86122,                0.69301,                0.94846,              0.0017921,              0.0017921,              0.0017921
                     45,                0.82988,                0.61409,                0.90665,                 0.9401,                0.94318,                0.96546,                 0.7459,                0.82689,                0.73633,                0.93697,              0.0017872,              0.0017872,              0.0017872
                     46,                0.87487,                0.60073,                 0.9287,                0.94147,                0.90909,                0.96174,                0.69463,                0.89735,                0.79279,                0.97423,              0.0017822,              0.0017822,              0.0017822
                     47,                0.83211,                0.60123,                0.93708,                0.94346,                0.92045,                0.96764,                0.68606,                0.91135,                 0.7525,                0.97907,              0.0017772,              0.0017772,              0.0017772
                     48,                0.81071,                0.59259,                0.92777,                0.96459,                0.92863,                0.97452,                0.68768,                0.94035,                0.72418,                 1.0123,              0.0017723,              0.0017723,              0.0017723
                     49,                0.82206,                 0.5805,                0.91806,                0.97272,                0.92045,                0.97644,                0.69858,                0.92053,                0.68673,                0.98831,              0.0017674,              0.0017674,              0.0017674
                     50,                 0.8157,                0.58881,                0.92713,                0.94294,                0.93889,                0.97749,                0.71453,                0.86597,                0.64325,                0.96115,              0.0017624,              0.0017624,              0.0017624
                     51,                0.82269,                0.58389,                0.94114,                 0.9508,                0.94318,                0.97743,                0.75441,                0.82834,                0.60019,                0.93937,              0.0017575,              0.0017575,              0.0017575
                     52,                0.90428,                0.61658,                0.93615,                0.94234,                0.96591,                0.98573,                0.73032,                0.84481,                0.61233,                0.93915,              0.0017525,              0.0017525,              0.0017525
                     53,                0.83302,                0.58876,                0.91274,                0.95546,                0.97727,                0.98823,                0.72977,                 0.8728,                0.57656,                0.94204,              0.0017476,              0.0017476,              0.0017476
                     54,                0.80454,                0.57821,                0.90864,                0.94569,                0.98933,                0.98919,                0.74685,                0.88277,                0.58012,                0.94595,              0.0017426,              0.0017426,              0.0017426
                     55,                0.85706,                0.59355,                0.94873,                0.97979,                0.97727,                0.98998,                 0.7794,                0.81476,                0.59393,                 0.9224,              0.0017376,              0.0017376,              0.0017376
                     56,                 0.8313,                0.56915,                0.91974,                0.96279,                0.97727,                0.98757,                0.77494,                0.80409,                0.60139,                0.93433,              0.0017327,              0.0017327,              0.0017327
                     57,                0.81031,                0.55467,                0.91828,                 0.9734,                      1,                0.98393,                0.73562,                 0.8301,                0.60588,                0.95793,              0.0017278,              0.0017278,              0.0017278
                     58,                0.81664,                0.54632,                 0.9151,                0.96348,                      1,                0.97847,                0.72856,                0.85175,                0.63024,                0.97339,              0.0017228,              0.0017228,              0.0017228
                     59,                 0.8199,                0.56058,                0.91646,                0.96201,                      1,                0.97502,                0.72065,                0.82782,                0.62125,                0.96662,              0.0017179,              0.0017179,              0.0017179
                     60,                0.80849,                0.56137,                0.90618,                0.93482,                 0.9778,                0.97072,                0.73556,                 0.8183,                0.64301,                0.97481,              0.0017129,              0.0017129,              0.0017129
