                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81716,                 0.5273,                0.99362,                0.98527,                 0.9966,                0.99308,                0.78358,                0.87295,                0.49552,                 1.0472,              0.0019347,              0.0019347,              0.0019347
                     36,                0.82457,                0.54287,                 1.0023,                0.97643,                 0.9966,                0.98741,                0.78168,                0.90662,                0.49409,                 1.0409,              0.0019327,              0.0019327,              0.0019327
                     37,                0.78738,                0.50041,                0.98962,                0.97108,                 0.9932,                0.98744,                0.77176,                0.86708,                  0.488,                 1.0366,              0.0019307,              0.0019307,              0.0019307
                     38,                0.82527,                0.53867,                 1.0006,                0.98657,                 0.9998,                0.99394,                0.76375,                0.93742,                0.50523,                 1.0409,              0.0019287,              0.0019287,              0.0019287
                     39,                0.83126,                0.53205,                0.99685,                 0.9841,                0.95578,                0.98818,                0.74613,                0.97816,                0.56628,                 1.0787,              0.0019267,              0.0019267,              0.0019267
                     40,                 0.7953,                0.51031,                 1.0012,                0.97621,                0.97698,                0.99255,                0.78169,                0.90921,                0.51053,                 1.0455,              0.0019248,              0.0019248,              0.0019248
                     41,                0.79627,                0.49529,                0.99576,                0.96913,                 0.9966,                0.99205,                 0.7797,                0.88082,                 0.4698,                 1.0298,              0.0019228,              0.0019228,              0.0019228
                     42,                 0.7973,                0.49624,                0.99315,                0.96983,                      1,                0.98804,                0.77569,                0.90938,                0.49446,                 1.0178,              0.0019208,              0.0019208,              0.0019208
                     43,                0.79318,                0.51364,                0.97857,                0.97418,                0.98639,                 0.9912,                0.78381,                 0.8805,                0.48372,                 1.0494,              0.0019188,              0.0019188,              0.0019188
                     44,                0.81703,                0.52244,                 1.0085,                0.97975,                 0.9872,                0.99323,                0.77624,                0.92267,                0.53368,                 1.0578,              0.0019168,              0.0019168,              0.0019168
                     45,                0.81134,                0.50151,                0.98919,                0.95604,                0.97619,                0.98997,                0.76664,                0.88527,                0.52654,                 1.0705,              0.0019149,              0.0019149,              0.0019149
                     46,                0.80875,                0.49504,                0.97957,                0.99469,                 0.9932,                0.99323,                0.77287,                 0.9233,                0.46737,                 1.0616,              0.0019129,              0.0019129,              0.0019129
                     47,                0.83709,                0.51332,                 1.0174,                0.99624,                      1,                0.99354,                0.78701,                0.85881,                0.45144,                   1.05,              0.0019109,              0.0019109,              0.0019109
                     48,                0.79855,                0.48822,                0.99689,                0.99605,                      1,                0.99408,                0.78917,                0.88465,                0.43457,                 1.0597,              0.0019089,              0.0019089,              0.0019089
                     49,                0.81133,                  0.482,                0.99842,                0.99598,                      1,                0.99375,                0.77648,                0.88357,                0.43657,                 1.0615,              0.0019069,              0.0019069,              0.0019069
                     50,                0.78541,                0.47587,                0.98209,                0.99547,                      1,                0.99456,                0.78641,                0.85733,                0.43478,                 1.0565,               0.001905,               0.001905,               0.001905
                     51,                0.81654,                 0.4855,                 1.0174,                0.99601,                      1,                0.99453,                0.78106,                0.92729,                0.44539,                 1.0504,               0.001903,               0.001903,               0.001903
                     52,                0.80153,                0.48511,                0.98613,                0.99324,                0.99918,                0.99411,                0.79455,                0.87637,                0.44707,                 1.0515,               0.001901,               0.001901,               0.001901
                     53,                 0.8034,                0.47676,                0.99788,                0.98915,                 0.9966,                0.99261,                0.76935,                0.88652,                0.45249,                 1.0623,               0.001899,               0.001899,               0.001899
