                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7855,                 2.9029,                 2.0968,                0.00333,                      1,                0.20627,                0.06226,                 1.6374,                 3.9457,                 2.7976,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.2251,                 2.5133,                 1.6711,                0.00333,                      1,                 0.8355,                0.50359,                0.89286,                 3.3588,                 1.7957,             0.00021978,             0.00021978,             0.00021978
                      3,                0.82514,                 1.6974,                 1.3428,                0.00333,                      1,                0.76251,                0.47439,                 1.1103,                 3.2208,                 1.8483,             0.00033933,             0.00033933,             0.00033933
                      4,                 0.7765,                 1.3644,                 1.3034,                0.85355,                 0.4375,                0.73165,                0.47985,                0.87885,                 3.1855,                 1.4997,             0.00045863,             0.00045863,             0.00045863
                      5,                0.69573,                  1.232,                 1.2407,                0.89232,                 0.5193,                0.88905,                0.51383,                 1.0326,                 3.1113,                 1.6258,              0.0005777,              0.0005777,              0.0005777
                      6,                0.74516,                 1.1848,                 1.2268,                      1,                0.78496,                  0.963,                0.69916,                0.67331,                  2.684,                 1.2501,             0.00069653,             0.00069653,             0.00069653
                      7,                0.69057,                 1.1268,                 1.2114,                0.45334,                    0.5,                 0.6193,                0.22951,                 1.0279,                 3.1983,                 1.7414,             0.00081513,             0.00081513,             0.00081513
                      8,                0.61553,                 1.0946,                 1.1751,                  0.739,                0.70874,                0.84922,                0.60905,                0.76843,                 2.6791,                 1.3359,             0.00093349,             0.00093349,             0.00093349
                      9,                0.67115,                 1.1198,                  1.193,                0.71627,                0.94705,                0.84343,                0.47622,                0.99939,                 3.1116,                 1.6293,              0.0010516,              0.0010516,              0.0010516
                     10,                0.67159,                 1.0776,                  1.155,                0.49099,                 0.9375,                 0.6494,                 0.4385,                0.77837,                 2.5182,                 1.4723,              0.0011695,              0.0011695,              0.0011695
                     11,                0.56401,                  0.944,                 1.1003,                0.66952,                   0.75,                0.83431,                0.52224,                 1.0246,                 2.4955,                 1.8631,              0.0012871,              0.0012871,              0.0012871
                     12,                 0.5925,                0.91707,                 1.1149,                0.74074,                  0.625,                0.67789,                0.45445,                0.92436,                 2.3739,                 1.4342,              0.0014045,              0.0014045,              0.0014045
                     13,                0.56134,                0.85606,                 1.1116,                0.26554,                0.67808,                0.35224,                0.14871,                 1.6546,                 3.7422,                 2.2696,              0.0015217,              0.0015217,              0.0015217
                     14,                0.63549,                0.89205,                 1.1635,                0.74373,                   0.75,                0.85205,                0.50223,                 1.1288,                 2.3498,                 1.8021,              0.0016386,              0.0016386,              0.0016386
                     15,                0.65416,                0.93829,                 1.1903,                0.87445,                0.87089,                0.94536,                0.70811,                0.90785,                 1.9402,                 1.5748,              0.0017553,              0.0017553,              0.0017553
                     16,                0.63276,                0.90446,                 1.1526,                0.64191,                 0.5625,                0.65988,                0.41043,                 1.1669,                  2.211,                 2.1889,              0.0018718,              0.0018718,              0.0018718
                     17,                0.61996,                0.80741,                  1.145,                      1,                0.62359,                0.84033,                0.56119,                 1.1966,                 2.1192,                 2.1609,              0.0019683,              0.0019683,              0.0019683
                     18,                0.68211,                0.86562,                 1.1796,                0.71896,                0.80001,                 0.6918,                0.35886,                 1.6082,                 2.0869,                 2.1759,              0.0019663,              0.0019663,              0.0019663
                     19,                 0.6314,                0.89968,                 1.1607,                0.81318,                 0.4375,                0.56875,                0.21462,                 2.0519,                 2.4906,                 2.6019,              0.0019644,              0.0019644,              0.0019644
                     20,                0.67162,                0.86069,                 1.2128,                0.81662,                0.55713,                0.61963,                0.46355,                0.96768,                 1.8977,                  1.605,              0.0019624,              0.0019624,              0.0019624
                     21,                 0.6511,                 0.8723,                 1.1432,                0.87816,                    0.5,                 0.5287,                0.43363,                 1.2089,                 2.0955,                 1.6761,              0.0019604,              0.0019604,              0.0019604
                     22,                0.59546,                0.79072,                 1.0945,                0.90361,                 0.3125,                0.38526,                0.25195,                 1.9792,                 2.6596,                 2.8265,              0.0019584,              0.0019584,              0.0019584
                     23,                0.53418,                0.66333,                 1.0836,                0.69311,                 0.4375,                0.54546,                0.34294,                 1.5608,                 2.4144,                 2.1547,              0.0019564,              0.0019564,              0.0019564
                     24,                 0.5677,                 0.7629,                 1.1063,                0.85787,                 0.8125,                0.93752,                0.68207,                0.93685,                 1.8581,                 1.7112,              0.0019545,              0.0019545,              0.0019545
                     25,                0.55925,                0.67581,                 1.0914,                0.74462,                  0.875,                0.91515,                0.62854,                 1.0473,                  1.794,                 1.6582,              0.0019525,              0.0019525,              0.0019525
                     26,                0.54051,                0.64727,                 1.0643,                0.88281,                   0.75,                0.88532,                0.62454,                 1.0543,                 1.5045,                 1.6934,              0.0019505,              0.0019505,              0.0019505
                     27,                0.55843,                0.66481,                 1.0855,                0.86624,                0.80969,                 0.8964,                 0.7186,                0.66509,                 1.1742,                 1.3039,              0.0019485,              0.0019485,              0.0019485
                     28,                0.55508,                0.69538,                 1.1223,                0.97608,                  0.625,                0.74552,                0.54213,                0.94585,                 1.4562,                 1.5283,              0.0019465,              0.0019465,              0.0019465
                     29,                0.54184,                0.71477,                 1.0743,                0.98711,                   0.75,                  0.893,                0.75781,                0.66972,                  1.119,                 1.2428,              0.0019446,              0.0019446,              0.0019446
                     30,                0.52714,                0.62969,                 1.0749,                0.98847,                      1,                  0.995,                0.79354,                0.59693,                 1.0509,                 1.1332,              0.0019426,              0.0019426,              0.0019426
                     31,                0.58108,                0.68448,                 1.1224,                0.82155,                 0.9375,                0.91544,                0.64802,                0.85088,                 1.1487,                 1.4283,              0.0019406,              0.0019406,              0.0019406
                     32,                0.58766,                0.66501,                 1.1008,                0.75073,                 0.5625,                0.66077,                0.49176,                 1.0594,                  1.364,                 1.5145,              0.0019386,              0.0019386,              0.0019386
                     33,                0.55336,                0.64173,                 1.1228,                0.98008,                    0.5,                0.60261,                0.44546,                 1.3809,                 1.7712,                 1.8372,              0.0019366,              0.0019366,              0.0019366
                     34,                0.51717,                0.59765,                 1.0676,                0.91622,                0.68381,                0.82079,                0.67407,                0.86165,                 1.2264,                 1.4045,              0.0019347,              0.0019347,              0.0019347
                     35,                0.53087,                0.58285,                 1.0871,                      1,                0.86212,                0.92884,                0.82992,                0.63816,                0.83752,                 1.1699,              0.0019327,              0.0019327,              0.0019327
                     36,                 0.5228,                0.59794,                 1.0591,                0.81701,                  0.875,                0.86161,                0.75593,                0.66422,                0.97222,                  1.175,              0.0019307,              0.0019307,              0.0019307
                     37,                0.49418,                0.56536,                 1.0572,                0.81434,                  0.875,                0.87292,                0.79822,                0.54569,                0.98195,                 1.0879,              0.0019287,              0.0019287,              0.0019287
                     38,                0.50691,                0.58393,                 1.0843,                0.99104,                 0.8125,                0.91445,                 0.8092,                0.70532,                0.85443,                  1.192,              0.0019267,              0.0019267,              0.0019267
                     39,                0.50015,                 0.5882,                 1.0519,                0.98743,                 0.8125,                0.89743,                0.75555,                0.80802,                0.84649,                 1.3788,              0.0019248,              0.0019248,              0.0019248
                     40,                0.49263,                0.53257,                 1.0438,                      1,                 0.9231,                  0.959,                 0.8538,                 0.6881,                0.75391,                 1.3388,              0.0019228,              0.0019228,              0.0019228
                     41,                0.51131,                0.53548,                 1.0711,                      1,                0.92479,                0.98833,                0.78421,                0.68604,                0.85304,                 1.3107,              0.0019208,              0.0019208,              0.0019208
                     42,                0.48803,                0.53706,                 1.0376,                0.87616,                 0.9375,                0.90854,                0.60048,                0.93655,                  1.216,                 1.4607,              0.0019188,              0.0019188,              0.0019188
                     43,                0.50121,                0.54712,                 1.0462,                0.87152,                 0.9375,                0.91608,                0.68583,                0.94012,                0.99458,                 1.3848,              0.0019168,              0.0019168,              0.0019168
                     44,                0.48592,                0.53729,                 1.0542,                0.92896,                 0.9375,                0.93569,                0.72329,                0.90152,                0.74912,                 1.4725,              0.0019149,              0.0019149,              0.0019149
                     45,                0.46329,                0.50477,                   1.02,                0.91296,                 0.9375,                0.92612,                0.76296,                0.60745,                0.77476,                 1.1269,              0.0019129,              0.0019129,              0.0019129
                     46,                0.49841,                0.54113,                 1.0706,                0.88706,                0.98255,                0.97646,                0.80625,                0.60985,                0.65666,                 1.1402,              0.0019109,              0.0019109,              0.0019109
                     47,                0.49578,                0.49564,                 1.0501,                 0.8395,                0.98145,                0.95927,                0.81821,                0.56564,                 0.6436,                 1.0739,              0.0019089,              0.0019089,              0.0019089
                     48,                0.48831,                0.48484,                 1.0533,                0.98799,                 0.8125,                0.85193,                0.72761,                0.70497,                0.91778,                 1.1701,              0.0019069,              0.0019069,              0.0019069
                     49,                0.56907,                0.59597,                 1.1187,                0.81888,                 0.9375,                0.93731,                0.73493,                0.60169,                0.78408,                 1.0604,               0.001905,               0.001905,               0.001905
                     50,                0.46786,                0.49117,                 1.0392,                      1,                0.92109,                0.99147,                0.81521,                0.78139,                0.66082,                 1.3825,               0.001903,               0.001903,               0.001903
                     51,                0.46313,                0.46644,                 1.0293,                 0.7958,                      1,                0.97205,                0.81667,                0.68559,                0.69085,                 1.2674,               0.001901,               0.001901,               0.001901
                     52,                0.45946,                0.49236,                 1.0687,                0.97714,                      1,                  0.995,                0.88378,                0.53387,                0.61041,                 1.0415,               0.001899,               0.001899,               0.001899
                     53,                0.51112,                0.47013,                 1.0832,                0.98891,                      1,                  0.995,                0.85988,                0.55959,                 0.5385,                  1.084,               0.001897,               0.001897,               0.001897
                     54,                0.51211,                0.50199,                 1.0418,                0.99935,                      1,                  0.995,                0.85019,                0.69994,                 0.6257,                 1.2593,              0.0018951,              0.0018951,              0.0018951
                     55,                0.53102,                0.56205,                 1.0779,                0.98462,                      1,                  0.995,                0.83822,                0.69894,                0.66005,                 1.1353,              0.0018931,              0.0018931,              0.0018931
                     56,                0.49462,                0.48315,                 1.0313,                0.99896,                      1,                  0.995,                0.86565,                0.59074,                0.54688,                 1.0373,              0.0018911,              0.0018911,              0.0018911
                     57,                0.47302,                0.49634,                 1.0489,                0.99453,                      1,                  0.995,                0.82732,                0.59728,                0.49924,                 1.0984,              0.0018891,              0.0018891,              0.0018891
                     58,                0.49744,                0.51255,                  1.049,                0.98988,                 0.9375,                0.98553,                0.84272,                0.59988,                0.51818,                 1.1707,              0.0018871,              0.0018871,              0.0018871
                     59,                 0.5199,                0.48831,                 1.0758,                0.98589,                 0.9375,                0.99147,                0.83172,                0.63736,                0.56459,                  1.189,              0.0018852,              0.0018852,              0.0018852
                     60,                 0.5223,                 0.5026,                 1.0948,                0.93962,                   0.75,                0.88495,                0.71907,                0.83578,                0.80787,                 1.4847,              0.0018832,              0.0018832,              0.0018832
                     61,                0.47906,                0.46772,                 1.0695,                      1,                0.92133,                0.98553,                 0.8055,                0.68631,                0.59905,                  1.313,              0.0018812,              0.0018812,              0.0018812
                     62,                0.50295,                0.49426,                 1.0452,                0.96099,                 0.9375,                0.93545,                0.81738,                0.63888,                0.66688,                 1.3532,              0.0018792,              0.0018792,              0.0018792
                     63,                 0.4927,                0.47901,                 1.0745,                0.91983,                 0.9375,                0.95543,                 0.8635,                0.61009,                0.73791,                 1.2413,              0.0018772,              0.0018772,              0.0018772
                     64,                  0.532,                0.51241,                 1.0873,                0.96697,                      1,                  0.995,                0.88935,                0.49861,                 0.5963,                 1.0896,              0.0018753,              0.0018753,              0.0018753
                     65,                0.46393,                0.49934,                 1.0605,                0.98866,                      1,                  0.995,                0.88561,                0.42477,                0.46886,                0.95613,              0.0018733,              0.0018733,              0.0018733
                     66,                0.43365,                0.42466,                 1.0288,                0.97689,                 0.9375,                  0.975,                0.86943,                0.48221,                0.55616,                 1.0429,              0.0018713,              0.0018713,              0.0018713
                     67,                0.52115,                0.50165,                 1.0929,                0.98382,                 0.9375,                0.95733,                0.84703,                0.53388,                 0.6651,                 1.1257,              0.0018693,              0.0018693,              0.0018693
