                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8618,                 4.0294,                 3.0989,                0.00333,                      1,                 0.0284,                0.01218,                 2.0613,                 4.3463,                 2.8333,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.3529,                 3.4255,                  2.534,                0.00333,                      1,                0.03505,                0.01066,                 2.3226,                 4.7101,                 3.1609,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 2.3208,                 3.4509,                 2.5476,                0.00333,                      1,                0.08179,                0.02261,                 2.0109,                 4.4374,                 3.0498,             0.00015937,             0.00015937,             0.00015937
                      4,                 1.2355,                 2.8063,                 1.6623,                0.00333,                      1,                0.32698,                0.17787,                0.99409,                 3.6145,                  1.541,             0.00021869,             0.00021869,             0.00021869
                      5,                0.81572,                 2.1542,                 1.3446,                0.00333,                      1,                0.86317,                0.53466,                0.64633,                 3.2433,                  1.238,             0.00027778,             0.00027778,             0.00027778
                      6,                0.84376,                 1.5716,                 1.2651,                0.00333,                      1,                  0.995,                0.73659,                0.50826,                 2.8452,                 1.0075,             0.00033663,             0.00033663,             0.00033663
                      7,                0.71814,                 1.3107,                 1.1103,                0.72307,                0.77778,                0.81659,                 0.4135,                0.88002,                 3.1289,                 1.2988,             0.00039525,             0.00039525,             0.00039525
                      8,                0.99674,                 1.4489,                 1.4115,                0.51422,                0.23803,                0.63835,                0.46644,                0.66754,                 3.0701,                 1.1805,             0.00045362,             0.00045362,             0.00045362
                      9,                0.92578,                  1.949,                 1.4603,                0.00333,                      1,                0.85305,                 0.6827,                0.68828,                 3.0963,                 1.1615,             0.00051176,             0.00051176,             0.00051176
                     10,                0.68966,                 1.1319,                  1.088,                0.00333,                      1,                0.77775,                 0.6055,                0.74119,                 3.1607,                 1.1668,             0.00056966,             0.00056966,             0.00056966
                     11,                0.62253,                 1.1606,                 1.1446,                0.82861,                0.33333,                 0.7347,                0.48242,                 1.0647,                 3.3322,                 1.4114,             0.00062733,             0.00062733,             0.00062733
                     12,                0.82766,                  1.591,                 1.4237,                      1,                0.44052,                0.79619,                0.60489,                0.77216,                 3.0373,                 1.1813,             0.00068475,             0.00068475,             0.00068475
                     13,                0.67008,                 1.1971,                 1.0445,                0.84114,                  0.592,                0.77893,                0.51776,                0.94368,                 2.7804,                  1.358,             0.00074194,             0.00074194,             0.00074194
                     14,                 0.6489,                 1.1231,                 1.1058,                0.94012,                0.66667,                0.82057,                0.61743,                0.98595,                  2.909,                 1.4174,             0.00079889,             0.00079889,             0.00079889
                     15,                0.67994,                 1.2035,                 1.0397,                0.72351,                0.55556,                 0.6884,                0.37996,                 1.9608,                 4.1268,                 3.2898,             0.00085561,             0.00085561,             0.00085561
                     16,                0.87564,                  1.264,                 1.1673,                0.45593,                0.88889,                0.68071,                0.23074,                 2.5809,                 6.1605,                 6.1567,             0.00091208,             0.00091208,             0.00091208
                     17,                0.92761,                 1.3174,                 1.3303,                0.76582,                0.88889,                0.73465,                0.49907,                0.88916,                 3.1722,                 1.5291,             0.00096832,             0.00096832,             0.00096832
                     18,                0.81752,                 1.2283,                 1.1396,                0.85927,                0.88889,                0.85187,                0.76132,                0.60556,                 2.4825,                 1.1521,              0.0010243,              0.0010243,              0.0010243
                     19,                0.63149,                 1.1572,                 1.0876,                0.98859,                0.88889,                0.88625,                0.74086,                0.61193,                 2.2294,                 1.1857,              0.0010801,              0.0010801,              0.0010801
                     20,                0.67283,                 1.2848,                 1.2612,                0.98343,                0.88889,                0.88593,                0.70511,                0.78335,                 2.6296,                 1.5514,              0.0011356,              0.0011356,              0.0011356
                     21,                0.62985,                 1.0344,                 1.0544,                0.96417,                0.88889,                0.88618,                0.72336,                0.80444,                 2.7442,                 1.6809,              0.0011909,              0.0011909,              0.0011909
                     22,                0.57979,                 1.0829,                  1.034,                0.98033,                0.88889,                  0.918,                0.68414,                0.75525,                 2.2966,                 1.3507,              0.0012459,              0.0012459,              0.0012459
                     23,                0.60356,                   1.02,                 1.0876,                  0.987,                0.88889,                0.92167,                 0.7121,                0.78147,                 1.9238,                 1.4138,              0.0013008,              0.0013008,              0.0013008
                     24,                 1.0658,                 1.5292,                 1.5043,                0.99029,                0.88889,                0.88921,                0.62642,                  1.146,                 2.1029,                 2.0872,              0.0013553,              0.0013553,              0.0013553
                     25,                0.96526,                 1.6278,                 1.3529,                 0.9819,                0.88889,                0.88726,                0.61389,                 1.2024,                 1.9766,                 2.0321,              0.0014097,              0.0014097,              0.0014097
                     26,                0.70339,                 1.0252,                  1.082,                0.98814,                0.88889,                0.88753,                0.71609,                0.75243,                 1.7087,                 1.3268,              0.0014638,              0.0014638,              0.0014638
