                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54065,                0.66104,                 1.0694,                0.77349,                0.97657,                0.91311,                0.62054,                0.88508,                 1.6791,                 1.3489,              0.0019347,              0.0019347,              0.0019347
                     36,                0.58762,                0.66091,                  1.113,                0.91866,                0.85714,                0.93132,                0.38457,                 1.3004,                 1.9384,                 1.6771,              0.0019327,              0.0019327,              0.0019327
                     37,                0.51601,                0.63443,                 1.0271,                0.86717,                0.93288,                0.96292,                0.72654,                0.72198,                 1.0769,                 1.2053,              0.0019307,              0.0019307,              0.0019307
                     38,                0.58645,                0.64098,                 1.0994,                0.98826,                0.92857,                  0.974,                 0.7777,                0.66116,                0.92707,                 1.1508,              0.0019287,              0.0019287,              0.0019287
                     39,                0.51646,                0.60091,                 1.0439,                0.91491,                0.92857,                0.94178,                0.75255,                0.55884,                0.96226,                 1.0624,              0.0019267,              0.0019267,              0.0019267
                     40,                0.55331,                0.66105,                 1.0961,                      1,                0.92039,                0.96583,                0.53463,                 1.1079,                 2.0591,                 1.6477,              0.0019248,              0.0019248,              0.0019248
                     41,                0.58778,                0.64635,                 1.1254,                0.82285,                0.99558,                0.96765,                0.58183,                 1.1305,                 1.3758,                 1.7681,              0.0019228,              0.0019228,              0.0019228
                     42,                0.67569,                0.64687,                 1.1514,                0.92107,                      1,                0.99033,                0.78892,                0.83914,                0.69751,                 1.4323,              0.0019208,              0.0019208,              0.0019208
                     43,                0.57002,                0.61997,                 1.1153,                0.99012,                      1,                  0.995,                0.83077,                0.61126,                0.66947,                 1.2649,              0.0019188,              0.0019188,              0.0019188
                     44,                0.58335,                0.59295,                  1.082,                0.97636,                      1,                  0.995,                0.73379,                0.89838,                0.99399,                 1.7219,              0.0019168,              0.0019168,              0.0019168
                     45,                 0.5868,                 0.6015,                  1.116,                0.98433,                      1,                  0.995,                0.82745,                0.69518,                0.79405,                 1.3808,              0.0019149,              0.0019149,              0.0019149
                     46,                0.51725,                0.55651,                 1.0384,                0.93897,                      1,                  0.995,                0.79981,                0.78519,                0.90754,                 1.3875,              0.0019129,              0.0019129,              0.0019129
                     47,                0.60188,                0.57216,                 1.1052,                0.85105,                0.85714,                0.91639,                0.54837,                 1.2408,                 1.6857,                 1.9216,              0.0019109,              0.0019109,              0.0019109
                     48,                0.57827,                0.63573,                 1.0644,                0.94814,                0.92857,                0.97944,                0.78776,                 0.7722,                 1.2288,                 1.5044,              0.0019089,              0.0019089,              0.0019089
                     49,                0.55275,                0.60782,                  1.057,                0.92636,                      1,                0.99033,                0.88209,                0.58203,                0.72077,                 1.3408,              0.0019069,              0.0019069,              0.0019069
                     50,                0.53071,                0.59737,                 1.0989,                      1,                0.97228,                  0.995,                0.85856,                0.65811,                0.74468,                 1.4667,               0.001905,               0.001905,               0.001905
                     51,                0.53915,                0.58855,                 1.0196,                0.97708,                0.92857,                0.93005,                0.81648,                0.71545,                0.89474,                 1.6714,               0.001903,               0.001903,               0.001903
                     52,                0.61709,                0.66338,                 1.1377,                0.98059,                0.92857,                0.93741,                0.76743,                0.58879,                0.80025,                 1.0381,               0.001901,               0.001901,               0.001901
                     53,                0.57225,                0.58332,                 1.1058,                 0.9797,                0.92857,                0.98625,                0.86855,                0.47779,                0.59359,                0.98246,               0.001899,               0.001899,               0.001899
                     54,                 0.4821,                0.53767,                 1.0186,                0.99443,                      1,                  0.995,                0.89472,                0.43738,                0.54815,                0.95407,               0.001897,               0.001897,               0.001897
                     55,                0.57001,                0.55091,                 1.1324,                0.99489,                      1,                  0.995,                0.89061,                0.50446,                  0.628,                 1.0274,              0.0018951,              0.0018951,              0.0018951
                     56,                0.58703,                0.61674,                 1.1126,                0.98511,                      1,                  0.995,                0.88681,                0.63476,                 0.8809,                 1.0649,              0.0018931,              0.0018931,              0.0018931
                     57,                0.52466,                0.52169,                 1.0537,                0.98345,                      1,                  0.995,                0.81455,                0.59905,                 0.8168,                 1.0157,              0.0018911,              0.0018911,              0.0018911
                     58,                0.55726,                 0.5363,                 1.0374,                0.98224,                      1,                  0.995,                0.83372,                0.61277,                0.79424,                 1.0177,              0.0018891,              0.0018891,              0.0018891
                     59,                0.54089,                 0.5281,                 1.0608,                0.99645,                0.92857,                0.96269,                0.77758,                0.53132,                0.80405,                 1.0123,              0.0018871,              0.0018871,              0.0018871
                     60,                0.48703,                0.46403,                 1.0092,                0.75936,                0.92857,                0.87908,                0.64894,                0.65881,                 1.0149,                 1.0852,              0.0018852,              0.0018852,              0.0018852
                     61,                0.53088,                0.53795,                 1.0643,                      1,                0.76941,                0.94542,                0.71837,                0.60625,                0.87492,                 1.0516,              0.0018832,              0.0018832,              0.0018832
                     62,                0.52821,                0.48825,                 1.0625,                      1,                0.99145,                  0.995,                0.82364,                0.46742,                0.63993,                0.96245,              0.0018812,              0.0018812,              0.0018812
                     63,                0.50612,                0.49442,                0.99309,                0.99305,                      1,                  0.995,                0.83705,                0.47132,                0.58595,                0.96533,              0.0018792,              0.0018792,              0.0018792
                     64,                0.44576,                0.45626,                 1.0119,                0.79924,                0.85334,                0.93375,                0.82431,                0.49091,                0.87234,                0.99578,              0.0018772,              0.0018772,              0.0018772
                     65,                0.55534,                0.53591,                 1.0731,                0.80826,                0.78571,                0.90196,                0.80064,                0.44453,                0.86819,                0.96088,              0.0018753,              0.0018753,              0.0018753
                     66,                0.47828,                0.44807,                 1.0037,                0.79033,                0.85714,                0.90284,                0.79954,                0.47959,                 0.8724,                 0.9754,              0.0018733,              0.0018733,              0.0018733
                     67,                0.49748,                0.45712,                  1.045,                0.93044,                      1,                0.98567,                0.86665,                0.52406,                0.61947,                 1.0076,              0.0018713,              0.0018713,              0.0018713
                     68,                0.49256,                 0.4623,                 1.0197,                0.98602,                      1,                  0.995,                0.88122,                 0.5058,                0.62314,                 1.0203,              0.0018693,              0.0018693,              0.0018693
                     69,                0.47597,                0.45166,                 1.0285,                0.98594,                      1,                  0.995,                0.90289,                 0.4514,                0.54317,                0.94933,              0.0018673,              0.0018673,              0.0018673
                     70,                0.47282,                0.44735,                  1.004,                0.98374,                      1,                  0.995,                0.90932,                0.46178,                0.51409,                0.93956,              0.0018654,              0.0018654,              0.0018654
                     71,                0.48906,                0.45436,                 1.0198,                0.99025,                      1,                  0.995,                0.91326,                 0.4992,                0.46592,                0.95952,              0.0018634,              0.0018634,              0.0018634
                     72,                0.53731,                0.46384,                 1.0506,                0.92433,                      1,                0.98567,                0.84344,                0.47476,                 0.5492,                0.97684,              0.0018614,              0.0018614,              0.0018614
                     73,                0.48398,                0.46525,                 1.0308,                0.85821,                      1,                0.98125,                0.90698,                0.45774,                0.57964,                  1.004,              0.0018594,              0.0018594,              0.0018594
                     74,                0.50248,                0.45915,                 1.0769,                      1,                0.98066,                  0.995,                0.91176,                0.46154,                0.50284,                 1.0655,              0.0018574,              0.0018574,              0.0018574
                     75,                0.43192,                0.40437,                0.98864,                0.99577,                      1,                  0.995,                0.90737,                0.50726,                0.44428,                   1.12,              0.0018555,              0.0018555,              0.0018555
                     76,                0.51927,                0.48188,                 1.0334,                0.99663,                      1,                  0.995,                0.89889,                0.49472,                 0.4215,                 1.0834,              0.0018535,              0.0018535,              0.0018535
                     77,                0.50437,                0.43523,                 1.0175,                 0.9965,                      1,                  0.995,                0.89893,                 0.4854,                0.41715,                 1.0283,              0.0018515,              0.0018515,              0.0018515
                     78,                 0.4957,                0.46125,                 1.0261,                0.99652,                      1,                  0.995,                0.91592,                 0.4347,                0.39945,                0.96489,              0.0018495,              0.0018495,              0.0018495
                     79,                0.47262,                0.43496,                 1.0054,                0.92776,                      1,                0.99033,                0.92641,                0.42441,                0.38837,                0.95588,              0.0018475,              0.0018475,              0.0018475
                     80,                0.53151,                0.51681,                 1.0432,                      1,                0.99467,                  0.995,                0.90644,                0.44176,                0.45198,                0.96011,              0.0018456,              0.0018456,              0.0018456
                     81,                 0.4985,                0.42468,                  1.024,                      1,                0.99583,                  0.995,                 0.7519,                0.83567,                0.54435,                 1.1759,              0.0018436,              0.0018436,              0.0018436
                     82,                0.50688,                0.46263,                 1.0775,                      1,                0.99791,                  0.995,                0.85375,                0.62038,                0.50952,                 1.0454,              0.0018416,              0.0018416,              0.0018416
                     83,                0.45969,                0.41971,                 1.0035,                      1,                0.99207,                  0.995,                0.87112,                 0.5151,                0.51792,                0.99408,              0.0018396,              0.0018396,              0.0018396
                     84,                0.44171,                0.40032,                0.98119,                 0.9858,                      1,                  0.995,                0.88608,                0.51139,                0.60929,                 1.0389,              0.0018376,              0.0018376,              0.0018376
                     85,                0.47035,                0.45943,                  1.037,                      1,                0.98852,                  0.995,                0.89936,                0.42137,                0.55359,                0.95433,              0.0018357,              0.0018357,              0.0018357
                     86,                0.47946,                0.43833,                 1.0271,                0.99148,                      1,                  0.995,                0.92734,                 0.3819,                0.39743,                0.91513,              0.0018337,              0.0018337,              0.0018337
                     87,                0.49032,                 0.4303,                 1.0148,                0.99406,                      1,                  0.995,                0.95803,                0.35764,                0.36947,                0.87756,              0.0018317,              0.0018317,              0.0018317
                     88,                0.52165,                 0.4498,                 1.0383,                0.92831,                      1,                0.99033,                0.95103,                0.31701,                0.42243,                0.82971,              0.0018297,              0.0018297,              0.0018297
                     89,                0.41654,                 0.3902,                 0.9686,                0.86825,                      1,                0.97625,                0.91736,                0.35633,                 0.4839,                0.83492,              0.0018277,              0.0018277,              0.0018277
                     90,                0.44584,                0.40999,                 1.0004,                 0.9198,                      1,                0.98567,                0.87949,                0.40981,                0.55992,                 0.8839,              0.0018258,              0.0018258,              0.0018258
                     91,                0.46012,                0.40314,                 1.0164,                0.86307,                      1,                  0.943,                0.79868,                 0.4323,                0.72529,                0.93158,              0.0018238,              0.0018238,              0.0018238
                     92,                0.42937,                0.37929,                0.99133,                0.92639,                0.90025,                0.92087,                0.63219,                0.89119,                 1.2604,                 1.3777,              0.0018218,              0.0018218,              0.0018218
                     93,                0.44143,                0.38107,                0.99492,                0.97503,                0.85714,                0.89264,                0.72359,                0.89506,                0.81977,                 1.4887,              0.0018198,              0.0018198,              0.0018198
                     94,                0.42573,                 0.3967,                0.96879,                0.97735,                0.78571,                0.87176,                0.66813,                 1.0376,                0.86846,                 1.6513,              0.0018178,              0.0018178,              0.0018178
                     95,                0.40215,                0.37216,                0.96224,                      1,                0.42333,                0.58707,                0.39148,                  1.778,                  1.719,                 2.5757,              0.0018159,              0.0018159,              0.0018159
